,student,teacher
2020-06-01 17:50:00,1521.5504,443.21118
2020-06-01 18:30:00,3424.163,999.90576
2020-06-01 19:10:00,4186.485,1228.351
2020-06-01 19:50:00,4323.652,1277.4823
2020-06-01 20:30:00,3863.1003,1135.3998
2020-06-02 17:50:00,1770.2601,518.3407
2020-06-02 18:30:00,3268.6455,960.49585
2020-06-02 19:10:00,4325.6104,1264.9373
2020-06-02 19:50:00,4550.9424,1335.1946
2020-06-02 20:30:00,3824.3384,1126.9946
2020-06-03 17:50:00,1692.114,496.72852
2020-06-03 18:30:00,3011.8447,890.3117
2020-06-03 19:10:00,4218.961,1238.5682
2020-06-03 19:50:00,4431.175,1300.938
2020-06-03 20:30:00,3618.7358,1072.3047
2020-06-04 17:50:00,1690.6046,492.39395
2020-06-04 18:30:00,2986.9016,882.5817
2020-06-04 19:10:00,4097.2954,1206.8215
2020-06-04 19:50:00,4322.518,1271.1715
2020-06-04 20:30:00,3525.1597,1047.2185
2020-06-05 17:50:00,1636.4696,476.04803
2020-06-05 18:30:00,2757.2786,805.76324
2020-06-05 19:10:00,3676.917,1084.6487
2020-06-05 19:50:00,3981.8838,1175.3795
2020-06-05 20:30:00,3477.125,1031.8827
2020-06-06 08:30:00,1242.4216,362.09558
2020-06-06 09:10:00,2549.0344,737.3667
2020-06-06 09:50:00,2545.1602,737.9324
2020-06-06 10:30:00,2521.1753,727.55615
2020-06-06 11:10:00,2161.574,616.54205
2020-06-06 11:50:00,892.02026,245.47119
2020-06-06 17:50:00,857.0066,233.40216
2020-06-06 18:30:00,1759.0542,511.94183
2020-06-06 19:10:00,3631.9236,1068.2921
2020-06-06 19:50:00,4290.5015,1258.7983
2020-06-06 20:30:00,4019.047,1180.5918
2020-06-07 08:30:00,1152.2742,343.3271
2020-06-07 09:10:00,2494.7847,721.4801
2020-06-07 09:50:00,2524.1143,733.9143
2020-06-07 10:30:00,2408.314,692.895
2020-06-07 11:10:00,1902.2349,536.02466
2020-06-07 11:50:00,859.3865,234.00916
2020-06-07 17:50:00,818.3811,223.23828
2020-06-07 18:30:00,1845.5347,544.1903
2020-06-07 19:10:00,3430.863,1011.8683
2020-06-07 19:50:00,3776.9258,1118.1727
2020-06-07 20:30:00,3805.8027,1120.2623
2020-06-08 17:50:00,1522.8058,443.47897
2020-06-08 18:30:00,3707.1287,1066.7695
2020-06-08 19:10:00,4517.658,1317.659
2020-06-08 19:50:00,4564.6875,1340.4872
2020-06-08 20:30:00,4135.2676,1208.2559
2020-06-09 17:50:00,1751.6343,515.4935
2020-06-09 18:30:00,3479.49,1013.13684
2020-06-09 19:10:00,4445.43,1294.6191
2020-06-09 19:50:00,4682.493,1366.6909
2020-06-09 20:30:00,4024.041,1178.7136
2020-06-10 17:50:00,1671.014,493.26675
2020-06-10 18:30:00,3243.8435,957.1662
2020-06-10 19:10:00,4406.3203,1292.5664
2020-06-10 19:50:00,4613.941,1352.4661
2020-06-10 20:30:00,3872.3684,1145.4594
2020-06-11 17:50:00,1662.2128,487.22678
2020-06-11 18:30:00,3227.5942,951.98566
2020-06-11 19:10:00,4196.1196,1235.7507
2020-06-11 19:50:00,4423.666,1300.3397
2020-06-11 20:30:00,3725.5696,1104.9414
2020-06-12 17:50:00,1619.233,473.05325
2020-06-12 18:30:00,3036.4792,888.08704
2020-06-12 19:10:00,3899.6782,1149.0322
2020-06-12 19:50:00,4165.046,1228.3835
2020-06-12 20:30:00,3768.1104,1115.9292
2020-06-13 08:30:00,1165.7782,336.88507
2020-06-13 09:10:00,2504.4722,722.86
2020-06-13 09:50:00,2499.4731,723.45154
2020-06-13 10:30:00,2454.9578,707.1251
2020-06-13 11:10:00,2093.0576,595.8143
2020-06-13 11:50:00,813.55225,223.99951
2020-06-13 17:50:00,798.08374,214.4408
2020-06-13 18:30:00,1663.9681,481.7593
2020-06-13 19:10:00,3374.7322,998.0432
2020-06-13 19:50:00,3886.073,1143.8898
2020-06-13 20:30:00,3749.5166,1105.0085
2020-06-14 08:30:00,1064.7632,313.87573
2020-06-14 09:10:00,2445.475,705.4475
2020-06-14 09:50:00,2464.4077,714.86975
2020-06-14 10:30:00,2325.019,667.95233
2020-06-14 11:10:00,1820.4004,511.7706
2020-06-14 11:50:00,812.3318,222.10797
2020-06-14 17:50:00,753.59546,201.82837
2020-06-14 18:30:00,1709.5142,499.4371
2020-06-14 19:10:00,3100.1536,925.2934
2020-06-14 19:50:00,3566.924,1063.0564
2020-06-14 20:30:00,3546.1213,1053.2665
